,Serie,EpisodeNumber,Sequence,Duration,Played
10,Donde esta Wally,11,"[['Donde esta Wally', '11 El museo viviente', 'P:/TVBoomerang/Series/Donde esta Wally/11 El museo viviente.mp4', 0.0, 551.0, 551.0], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 185.0, 312, 127.0], ['Donde esta Wally', '11 El museo viviente', 'P:/TVBoomerang/Series/Donde esta Wally/11 El museo viviente.mp4', 551.0, 910.0, 359.0], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 185.0, 312, 127.0], ['Donde esta Wally', '11 El museo viviente', 'P:/TVBoomerang/Series/Donde esta Wally/11 El museo viviente.mp4', 910.0, 1404.0, 494.0], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 185.0, 312, 127.0]]",1800.0,N
11,Donde esta Wally,12,"[['Donde esta Wally', '12 Una visita al futuro', 'P:/TVBoomerang/Series/Donde esta Wally/12 Una visita al futuro.mp4', 0.0, 601.0, 601.0], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 184.67, 312, 127.33000000000001], ['Donde esta Wally', '12 Una visita al futuro', 'P:/TVBoomerang/Series/Donde esta Wally/12 Una visita al futuro.mp4', 601.0, 870.0, 269.0], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 184.67, 312, 127.33000000000001], ['Donde esta Wally', '12 Una visita al futuro', 'P:/TVBoomerang/Series/Donde esta Wally/12 Una visita al futuro.mp4', 870.0, 1403.0, 533.0], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 184.67, 312, 127.33000000000001]]",1799.99,N
12,Donde esta Wally,13,"[['Donde esta Wally', '13 Ocasion de vikingos', 'P:/TVBoomerang/Series/Donde esta Wally/13 Ocasion de vikingos.mp4', 0.0, 614.0, 614.0], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 181.0, 312, 131.0], ['Donde esta Wally', '13 Ocasion de vikingos', 'P:/TVBoomerang/Series/Donde esta Wally/13 Ocasion de vikingos.mp4', 614.0, 860.0, 246.0], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 181.0, 312, 131.0], ['Donde esta Wally', '13 Ocasion de vikingos', 'P:/TVBoomerang/Series/Donde esta Wally/13 Ocasion de vikingos.mp4', 860.0, 1392.0, 532.0], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 181.0, 312, 131.0]]",1800.0,N
13,El Autobus Magico,1,"[['El Autobus Magico', '01 Perdidos en el espacio', 'P:/TVBoomerang/Series/El Autobus Magico/01 Perdidos en el espacio.mkv', 0.0, 405.53213, 405.53213], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 219.32999999999998, 312, 92.67], ['El Autobus Magico', '01 Perdidos en el espacio', 'P:/TVBoomerang/Series/El Autobus Magico/01 Perdidos en el espacio.mkv', 405.53213, 787.965496, 382.43336600000004], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 219.32999999999998, 312, 92.67], ['El Autobus Magico', '01 Perdidos en el espacio', 'P:/TVBoomerang/Series/El Autobus Magico/01 Perdidos en el espacio.mkv', 787.965496, 1507.0, 719.034504], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 219.32999999999998, 312, 92.67]]",1800.0100000000002,N
14,El Autobus Magico,2,"[['El Autobus Magico', '02 Sistema digestivo', 'P:/TVBoomerang/Series/El Autobus Magico/02 Sistema digestivo.mkv', 0.0, 436.715268, 436.715268], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 236.67000000000002, 312, 75.33], ['El Autobus Magico', '02 Sistema digestivo', 'P:/TVBoomerang/Series/El Autobus Magico/02 Sistema digestivo.mkv', 436.715268, 833.693897, 396.978629], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 236.67000000000002, 312, 75.33], ['El Autobus Magico', '02 Sistema digestivo', 'P:/TVBoomerang/Series/El Autobus Magico/02 Sistema digestivo.mkv', 833.693897, 1559.0, 725.306103], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 236.67000000000002, 312, 75.33]]",1799.99,N
15,El Autobus Magico,3,"[['El Autobus Magico', '03 Sistema inmunologico', 'P:/TVBoomerang/Series/El Autobus Magico/03 Sistema inmunologico.mkv', 0.0, 519.320189, 519.320189], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 236.67000000000002, 312, 75.33], ['El Autobus Magico', '03 Sistema inmunologico', 'P:/TVBoomerang/Series/El Autobus Magico/03 Sistema inmunologico.mkv', 519.320189, 1136.362337, 617.042148], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 236.67000000000002, 312, 75.33], ['El Autobus Magico', '03 Sistema inmunologico', 'P:/TVBoomerang/Series/El Autobus Magico/03 Sistema inmunologico.mkv', 1136.362337, 1559.0, 422.637663], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 236.67000000000002, 312, 75.33]]",1799.9899999999998,N
16,El Autobus Magico,4,"[['El Autobus Magico', '04 El oceano', 'P:/TVBoomerang/Series/El Autobus Magico/04 El oceano.mkv', 0.0, 586.153081, 586.153081], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 236.32999999999998, 312, 75.67], ['El Autobus Magico', '04 El oceano', 'P:/TVBoomerang/Series/El Autobus Magico/04 El oceano.mkv', 586.153081, 1045.392941, 459.23986], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 236.32999999999998, 312, 75.67], ['El Autobus Magico', '04 El oceano', 'P:/TVBoomerang/Series/El Autobus Magico/04 El oceano.mkv', 1045.392941, 1558.0, 512.6070589999999], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 236.32999999999998, 312, 75.67]]",1800.0100000000002,N
17,El Autobus Magico,5,"[['El Autobus Magico', '05 Habitats', 'P:/TVBoomerang/Series/El Autobus Magico/05 Habitats.mkv', 0.0, 584.329038, 584.329038], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 237.32999999999998, 312, 74.67], ['El Autobus Magico', '05 Habitats', 'P:/TVBoomerang/Series/El Autobus Magico/05 Habitats.mkv', 584.329038, 909.001117, 324.67207900000005], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 237.32999999999998, 312, 74.67], ['El Autobus Magico', '05 Habitats', 'P:/TVBoomerang/Series/El Autobus Magico/05 Habitats.mkv', 909.001117, 1561.0, 651.998883], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 237.32999999999998, 312, 74.67]]",1800.01,N
18,El Autobus Magico,6,"[['El Autobus Magico', '06 Alimentos podridos', 'P:/TVBoomerang/Series/El Autobus Magico/06 Alimentos podridos.mkv', 0.0, 475.220114, 475.220114], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 236.67000000000002, 312, 75.33], ['El Autobus Magico', '06 Alimentos podridos', 'P:/TVBoomerang/Series/El Autobus Magico/06 Alimentos podridos.mkv', 475.220114, 1057.784145, 582.5640310000001], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 236.67000000000002, 312, 75.33], ['El Autobus Magico', '06 Alimentos podridos', 'P:/TVBoomerang/Series/El Autobus Magico/06 Alimentos podridos.mkv', 1057.784145, 1559.0, 501.2158549999999], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 236.67000000000002, 312, 75.33]]",1799.9899999999998,N
19,El Autobus Magico,7,"[['El Autobus Magico', '07 El desierto', 'P:/TVBoomerang/Series/El Autobus Magico/07 El desierto.mkv', 0.0, 590.108076, 590.108076], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 236.67000000000002, 312, 75.33], ['El Autobus Magico', '07 El desierto', 'P:/TVBoomerang/Series/El Autobus Magico/07 El desierto.mkv', 590.108076, 1117.790337, 527.6822609999999], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 236.67000000000002, 312, 75.33], ['El Autobus Magico', '07 El desierto', 'P:/TVBoomerang/Series/El Autobus Magico/07 El desierto.mkv', 1117.790337, 1559.0, 441.2096630000001], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['El Autobus Magico', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 236.67000000000002, 312, 75.33]]",1799.9899999999998,N
